"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Torchlight","","006906308","Monograph","Language material ; Text","Volume","GB97X7003","","9780340682739","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Hodder & Stoughton","1997","","352 pages, 24 cm","813.54","","Shipwrecks--Fiction","Thriller","English","",""
"Tour du monde en quatre-vingts jours","Achterhuis ; Adventures of Tom Sawyer ; David Copperfield ; Jungle book ; Merry adventures of Robin Hood ; Moby Dick ; Oliver Twist ; Pegasus Classics Retold ; Treasure Island ; Trois mousquetaires ; Voyage au centre de la terre ; Wonderful wizard of Oz","019147624","Monograph","Language material ; Still image ; Text","Volume","GBB9F5144","","9788131944523 ; 9788131944530 ; 9788131944547 ; 9788131944554 ; 9788131944561 ; 9788131944578 ; 9788131944585 ; 9788131944592 ; 9788131944608 ; 9788131944615 ; 9788131944622 ; 9788131944639 ; 9788131948644","","","","","Dumas, Alexandre, 1802-1870 [person] ; Dickens, Charles, 1812-1870 [person] ; Baum, L. Frank (Lyman Frank), 1856-1919 [person] ; Kipling, Rudyard, 1865-1936 [person] ; Verne, Jules, 1828-1905 [person] ; Melville, Herman, 1819-1891 [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Twain, Mark, 1835-1910 [person] ; Pyle, Howard, 1853-1911 [person] ; Frank, Anne, 1929-1945 [person]","","","India","Noida, Uttar Pradesh","Pegasus for Kids","2018","","12 volumes, black and white illustrations, 20 cm","808.899282","YKL.2019.a.14856","","","English","In slipcase. Title from slipcase",""
"Traditions of Edinburgh","Edinburgh ; Edinburgh : Scottish lost treasures ; Peter's letters to his kinfolk","017033386","Monograph","Language material ; Text","Online resource","GBB5G1328","","9781910486184","","","","","Lockhart, J. G. (John Gibson), 1794-1854 [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Chambers, Robert, 1802-1871 [person]","","","Scotland","Falkirk, Stirlingshire","eClassics collection","2014","","1 online resource","941.34081","ELD.DS.11555","Edinburgh--Description and travel ; Edinburgh--Social life and customs--19th century","","English","",""
"Train ride","","005253040","Monograph","Notated music","Volume","","","","Noble, Harold","1903-1998","person","","Stevenson, Robert Louis, 1850-1894 [person] ; Noble, Harold, 1903-1998 [person]","","","England","London","Studio Music","1985","","1 score (5 pages), 26 cm","782.7542","E.1500.hh. (14.)","Songs for unison children's voices with piano","","English","For voices and piano",""
"Traisur insch : Robert Louis Stevenson's Treasure Island","Treasure Island. Scots, 2008","014882401","Monograph","Language material ; Text","Volume","GBA905620","","","Stevenson, Robert Louis","1850-1894","person","","Forde, Iain W. D. [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","Scotland","Scotlandwell","Fons Scotiae","2008","","x, 241 pages, illustrations, 21 cm","","","","","Scots","1 folded map loosely inserted ; Translation of: Treasure Island",""
"Traivells wi a cuddie i the Cevennes = Travels with a donkey in the Cevennes","Travels with a donkey in the Cevennes ; Travels with a donkey in the Cévennes. Scots","018920611","Monograph","Language material ; Text","Volume","GBB8B9173","","9780957416451","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Forde, Iain W. D., translator [person]","","","Scotland","Scotlandwell, Kinross-shire","Fons Scotiae","2018","","viii, 112 pages, illustrations, 22 cm","914.481","YKL.2019.a.8430","Stevenson, Robert Louis, 1850-1894--Travel--France--Cévennes Mountains ; Cévennes Mountains (France)--Description and travel","","Scots","Originally published in English as: Travels with a donkey in the Cévennes",""
"Transformation","Jekyll and Hyde ; Jekyll and Hyde, The secret sharer, and Transformation : three tales of doubles ; Secret sharer","014531748","Monograph","Language material ; Text","Volume","GBA823522","","9780321415615","","","","","Conrad, Joseph, 1857-1924 [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Shelley, Mary Wollstonecraft, 1797-1851 [person] ; Wolfson, Susan J., 1948-, editor [person] ; Qualls, Barry V., editor [person]","A Longman cultural edition","","England","Harlow","Longman","2008","","1 volume, illustrations","823.80927","","English literature--Psychological aspects ; Doppelgängers--Fiction ; English literature--19th century--History and criticism","Fiction","English","",""
"Travels in Hawaii","","013866479","Monograph","Language material ; Text","Volume","","","9780824802578","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Day, A. Grove (Arthur Grove), 1904-1994, editor [person]","","","United States of America","Honolulu","Hawaii ; University Press","1973","","xlv, 205 pages, illustrations, 22 cm","919.69044","73/10784 ; X.809/21924","Hawaii--Description and travel","","English","",""
"Travels in the Cévennes","","012043025","Monograph","Language material ; Text","Volume","GB9941717","","9781854280558","Allen, Peter","1964-","person","author","Allen, Peter, 1964-, author [person]","","","England","Leominster","Whittington Press","1998","","1 volume, illustrations (some colour), 29 cm","944.8","YK.1999.b.4290","Cévennes Mountains Region (France)--Description and travel ; Cévennes Mountains Region (France)--Pictorial works ; Stevenson, Robert Louis, 1850-1894--Journeys","","English","In slipcase ; Limited edition of 150 signed and numbered copies",""
"Travels with Robert Louis Stevenson","Across the plains ; In the South Seas ; Inland voyage ; Prose works. Selections","012982293","Monograph","Language material ; Text","Volume","GBA527531","","","Stevenson, Robert Louis","1850-1894","person","","Stevenson, Robert Louis, 1850-1894 [person]","","","England","London","Folio Society","2004","","3 volumes, illustrations, 22 cm","910.4","YC.2005.a.1656","Stevenson, Robert Louis, 1850-1894--Travel ; Voyages and travels","","English","Title from slip case",""
"Travels with a Donkey : and, An Inland Voyage","An inland voyage ; Inland Voyage ; Travels with a donkey in the Cévennes ; Works. Selections","003501045","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Cross, Wilbur L. (Wilbur Lucius), 1862-1948, editor [person]","Macmillan Pocket Classics","","United States of America","New York","","1924","","xxi, 297 pages (16°)","","12199.a.1/136","","","English","",""
"Travels with a Donkey : and, Virginibus Puerisque","Travels with a donkey in the Cévennes ; Virginibus Puerisque ; Works. Selections","003501065","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Bell, Harry MacAra, editor [person]","Selected English Classics","","England","London","Ginn","1936","","xxv, 291 pages (8°)","","012213.h.4/18","","","English","",""
"Travels with a Donkey in the Cevennes","","003501555","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Blampied, Edmund, 1886-1966, illustrator [person]","","","England","London","John Lane","1931","","ix, 189 pages, illustrations (8°)","","010171.k.47","","","English","",""
"Travels with a Donkey in the Cevennes","","003501556","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Dent, J. C. (John Cyril) [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","Minster English Texts","","England ; Scotland","Glasgow ; London","Blackie","1946","","199 pages (8°)","","W.P.9360/12","","","English","",""
"Travels with a Donkey in the Cevennes","","003501557","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Brodie Books","number 62 [Brodie Books]","England","London","James Brodie","1950","","96 pages (8°)","","W.P.8579/62a","","","English","",""
"Travels with a Donkey in the Cevennes","","010876454","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1920","","","","W76/8441","","","English","",""
"Travels with a Donkey in the Cevennes","","010876705","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1916","","","","W79/3918","","","English","",""
"Travels with a Donkey in the Cevennes","","010876708","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Macmillan","1925","","","","W31/4122","","","English","",""
"Travels with a Donkey in the Cevennes","","010876709","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Bodley Head","1931","","","","W53/9278","","","English","",""
"Travels with a Donkey in the Cevennes","","010876711","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","English literature series","No 96 [English literature series]","","","Macmillan","1939","","","","3775.067800","","","English","",""
"Travels with a Donkey in the Cevennes","","012219284","Monograph","Language material ; Text","Volume","GB6121152","","","Stevenson, Robert Louis","1850-1894","person","author","Long, J. B., illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","Laurel and gold series","volume 216 [Laurel and gold series]","England","London","Collins","1962","","192 pages, illustrations, 16 cm","914.480483","012208.ccc.1/197","","","English","",""
"Travels with a Donkey in the Cevennes","An Inland Voyage : and, Travels with a Donkey in the Cevennes ; Inland voyage ; Travels with a donkey in the Cévennes ; Works. Selections","003501067","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Kings Treasuries of Literature","number 256 [Kings Treasuries of Literature]","England","London","J M Dent","1941","","256 pages (8°)","","012207.aaa.1/252","","","English","",""
"Travels with a Donkey in the Cevennes","Mountain town in France ; Travels with a donkey in the Cévennes ; Works. Selections","003501074","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","England","London","Falcon","1948","","147 pages (8°)","","010167.a.49 ; W24/9417 ; W45/5475","","","English","Together with: A Mountain Town in France",""
"Travels with a Donkey in the Cevennes, etc","","003501554","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Brodie Books","number 62 [Brodie Books]","England","London","","1929","","96 pages (8°)","","W.P.8579/62","","","English","",""
"Travels with a Donkey","Travels with a donkey in the Cévennes","010876707","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto","1920","","","624.8","624.8 *5457*","","","English","",""
"Travels with a donkey : An inland voyage ; The Silverado squatters","Inland voyage ; Prose works. Selections ; Silverado squatters ; Travels with a donkey in the Cévennes","007391945","Monograph","Language material ; Text","Volume","GB9369016","","9780460871181","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","England","London","Everyman","1992","","277 pages, 20 cm","914.4804812","YK.1994.a.1882","Travel ; California ; Languedoc-Roussillon (France)","","English","",""
"Travels with a donkey : An inland voyage ; The Silverado squatters","Inland voyage ; Prose works. Selections ; Silverado squatters ; Travels with a donkey in the Cévennes","007392029","Monograph","Language material ; Text","Volume","GB9411158","","9780460872782","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","The Everyman library","","England","London","Everyman","1993","","xxiv, 305 pages, 20 cm","914.4804812","YK.1994.a.4135","Travel ; California ; Languedoc-Roussillon (France)","","English","",""
"Travels with a donkey : An inland voyage ; The silverado squatters","Inland voyage ; Prose works. Selections ; Silverado squatters ; Travels with a donkey in the Cévennes","007390589","Monograph","Language material ; Text","Volume","GB8439125","","9780460007665 ; 9780460117661","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Everyman classics ; Everyman's library","","England","London","Dent","1984","","xxiii, 277 pages, 19 cm","910.4","X.958/25598","Voyages and travel ; Travel--1876-1880--Texts","","English","",""
"Travels with a donkey in the Cevennes : and selected travel writings","Prose works. Selections","011942410","Monograph","Language material ; Text","Volume","GB9310883","","9780192826299","Stevenson, Robert Louis","1850-1894","person","","Letley, Emma, editor ; writer [person] ; Stevenson, Robert Louis, 1850-1894 [person]","The World's classics","","England","Oxford","Oxford University Press","1992","New edition","xxiv, 334 pages, 19 cm","828.803","H.93/1595","English prose","","English","",""
"Travels with a donkey in the Cevennes : and, An inland voyage","An inland voyage ; Inland voyage ; Prose works. Selections ; Travels with a donkey in the Cévennes","008314745","Monograph","Language material ; Text","Volume","GB5306789","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Nelson classics","","England","London","Thomas Nelson","1953","","vi, 144, 150 pages, 16 cm","944.80810924","012207.c.81","","","English","",""
"Travels with a donkey in the Cevennes","","003501545","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Kegan Paul","1879","","xii, 227 pages (8°)","","C.70.bb.10","","","English","",""
"Travels with a donkey in the Cevennes","","003501547","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","C. Kegan Paul","1881","Third edition","viii, 227 pages, plates, 17 cm","","1607/3043","","","English","",""
"Travels with a donkey in the Cevennes","","003501548","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Rooke, Noel, 1881-1953, illustrator [person]","","","","","","1909","","xi, 208 pages","","12208.w","","","English","",""
"Travels with a donkey in the Cevennes","","003501549","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Houghton, Ralph Edward Cunliffe, editor [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","English literature series","","England","London","Macmillan","1924","","xvii 129 pages (8°)","","012273.de.83","","","English","",""
"Travels with a donkey in the Cevennes","","003501550","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Nelson's Classics","","England","London","","1925","","281 pages (8°)","","012207.c.80","","","English","",""
"Travels with a donkey in the Cevennes","","003501551","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Jones, P. Thoresby (Percy Thoresby), editor [person] ; Stevenson, Robert Louis, 1850-1894, author [person] ; Wyatt, A. J. (Alfred John), 1858-1935, editor [person]","","","England","London","W. B. Clive","1925","","xvi, 128 pages (8°)","","10169.bb.38","","","English","",""
"Travels with a donkey in the Cevennes","","003501552","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Blackie","1926","","175 pages (8°)","","10167.de.15","","","English","",""
"Travels with a donkey in the Cevennes","","003501553","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Nick, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person] ; Braybrooke, Patrick, 1894-1956, writer [person]","","","England ; Scotland","Glasgow ; London","Collins","1928","","248 pages, illustrations (8°)","","010170.de.28","","","English","",""
"Travels with a donkey in the Cevennes","","010305778","Monograph","Language material ; Text","Volume","GB6725698","","","Stevenson, Robert Louis","1850-1894","person","author","Ardizzone, Edward, 1900-1979, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Folio Society","1967","","135 pages, illustrations, 23 cm","944.80810924","X.900/2863","","","English","",""
"Travels with a donkey in the Cevennes","","010876697","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Thomas Nelson","","","","","W63/3906","","","English","",""
"Travels with a donkey in the Cevennes","","010876698","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Chatto & Windus","1918","","","","W67/5196","","","English","",""
"Travels with a donkey in the Cevennes","","010876700","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Nelson","1878-1879","","","","W69/4512","","","English","",""
"Travels with a donkey in the Cevennes","","010876702","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1911","","","914.48","914.48 *4411*","","","English","",""
"Travels with a donkey in the Cevennes","","010876703","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1912","","","","W21/2173","","","English","",""
"Travels with a donkey in the Cevennes","","010876704","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","","1914","","","","W9/1103","","","English","",""
"Travels with a donkey in the Cevennes","","010876706","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1919","","","","W19/5483","","","English","",""
"Travels with a donkey in the Cevennes","","011980611","Monograph","Language material ; Text","Volume","GB8614743","","9780701131371","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Chatto & Windus","1986","","128 pages, illustrations, 27 cm","914.4804812","YK.1987.b.5699","France--Cévennes--Description & travel--1878 ; Cévennes Mountains (France)--Description and travel","","English","Originally published: London : Kegan Paul, 1879",""
"Travels with a donkey in the Cevennes","","014935491","Monograph","Language material ; Text","Volume","","","9781906780074","Stevenson, Robert Louis","1850-1894","person","","Stevenson, Robert Louis, 1850-1894 [person]","","","England","Oxford","John Beaufoy Publishing","2009","","","","","","","English","paperback",""
"Travels with a donkey in the Cevennes","","015101035","Monograph","Language material ; Text","Volume","GBB104754","","9780955824739","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Phillips, Laurence [person]","BBC radio series","","England","London","Illyria","2009","","184 pages, illustrations, maps, 23 cm","828.809","YK.2010.a.34010","Stevenson, Robert Louis, 1850-1894--Travel--France--Cévennes Mountains ; Authors, Scottish--19th century--Biography ; Travel with donkeys--France--Cévennes Mountains ; Cévennes Mountains (France)--Description and travel","Biography","English","'With advice for modern travellers following in the footsteps and hoofprints of the original adventurers by Laurence Phillips.'",""
"Travels with a donkey in the Cevennes","","015627571","Monograph","Language material ; Text","Volume","","","9781906780357","Stevenson, Robert Louis","1850-1894","person","","Stevenson, Robert Louis, 1850-1894 [person]","Stanford travel classics","","England","Oxford","John Beaufoy Publishing ; Orca Book Services ; South Pacific Book ; Woodslane","2010","","112 pages, 20 x 13 cm","","","","","English","paperback",""
"Travels with a donkey in the Cevennes","An Inland Voyage : Travels with a Donkey in the Cevennes ; Inland voyage ; Travels with a donkey in the Cévennes ; Works. Selections","003501071","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","England","London","Gordon Martin","1948","","252 pages (8°)","","12275.a.23","","","English","",""
"Travels with a donkey in the Cevennes","An Inland Voyage : and, Travels with a Donkey in the Cevennes ; Inland voyage ; Travels with a donkey in the Cévennes ; Works. Selections","003501072","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Holborn Library","","England","London","George G. Harrap","1948","","236 pages (8°)","","W.P.1596/15","","","English","",""
"Travels with a donkey in the Cevennes","An inland voyage : Travels with a donkey in the Cevennes ; Inland voyage ; Prose works. Selections ; Travels with a donkey in the Cévennes","010876455","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","England","London","William Heinemann","1924","","","","W60/0028","","","English","",""
"Travels with a donkey in the Cevennes","An inland voyage : Travels with a donkey in the Cevennes ; Inland voyage ; Prose works. Selections ; Travels with a donkey in the Cévennes","010876456","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","The Skerryvore Edition","volume 15 [The Skerryvore Edition]","","","William Heinemann","1925","","","","X20/7582","","","English","",""
"Travels with a donkey in the Cevennes","An inland voyage : Travels with a donkey in the Cevennes ; Inland voyage ; Prose works. Selections ; Travels with a donkey in the Cévennes","010876458","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","","","Heinemann","1930","","","","X3/3876","","","English","",""
"Travels with a donkey in the Cevennes","An inland voyage : Travels with a donkey in the Cevennes ; Inland voyage ; Prose works. Selections ; Travels with a donkey in the Cévennes","010876789","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","works of Robert Louis Stevenson","volume 17 [works of Robert Louis Stevenson]","","","Heinemann","1924","Tusitala edition","","","X9/2470","","","English","",""
"Travels with a donkey in the Cevennes","An inland voyage : Travels with a donkey in the Cevennes ; Inland voyage ; Travels with a donkey in the Cévennes ; Works. Selections","004138083","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","","","","1969","","","","X.809/6494","","","English","",""
"Travels with a donkey in the Cevennes","An inland voyage : and, Travels with a donkey in the Cevennes ; Inland voyage ; Prose works. Selections ; Travels with a donkey in the Cévennes","010876461","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Holborn lib","","","","Harrap","1948","","","","W16/5240","","","English","",""
"Travels with a donkey in the Cevennes","Traivells wi a cuddie i the Cevennes = Travels with a donkey in the Cevennes ; Travels with a donkey in the Cévennes. Scots","018920611","Monograph","Language material ; Text","Volume","GBB8B9173","","9780957416451","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Forde, Iain W. D., translator [person]","","","Scotland","Scotlandwell, Kinross-shire","Fons Scotiae","2018","","viii, 112 pages, illustrations, 22 cm","914.481","YKL.2019.a.8430","Stevenson, Robert Louis, 1850-1894--Travel--France--Cévennes Mountains ; Cévennes Mountains (France)--Description and travel","","Scots","Originally published in English as: Travels with a donkey in the Cévennes",""
"Travels with a donkey in the Cevennes","Travels with a donkey","015284868","Monograph","Language material ; Text","Volume","GBB051507","","9781906059682","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","HV classic non-fiction","","England","London","","2008","HV classics edition","103 pages, 24 cm","828.803","YC.2010.a.7062","Stevenson, Robert Louis, 1850-1894--Travel--France--Cévennes Mountains ; Cévennes Mountains (France)--Description and travel","","English","",""
"Travels with a donkey in the Cévennes : and, The amateur emigrant","Amateur emigrant","012878828","Monograph","Language material ; Text","Volume","GBA4X2219","","9780141439464","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; MacLachlan, C. J. M. [person]","Penguin classics","","England","London","Penguin","2004","","336 pages, maps, 20 cm","828.803","","Stevenson, Robert Louis, 1850-1894--Travel--France--Cévennes Mountains ; United States--Description and travel ; Stevenson, Robert Louis, 1850-1894--Travel--United States ; Cévennes Mountains (France)--Description and travel","","English","",""
"Travels with a donkey in the Cévennes","","003501546","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","United States of America","Boston","Roberts","1879","","235 pages (8°)","","10109.n.63","","","English","",""
"Travels with a donkey in the Cévennes","","007402824","Monograph","Language material ; Text","Volume","GB8533145","","9780712609951","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Century travellers","","England","London","Century","1985","","xvi, 176 pages, 22 cm","914.4804812","X.950/44654","France--Cévennes--Description & travel--1878 ; Cévennes Mountains (France)--Description and travel","","English","facsimile of edition published: London : Kegan Paul, 1879",""
"Travels with a donkey in the Cévennes","","007437193","Monograph","Language material ; Text","Volume","GB8007163","","9780906223178","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Godfrey Cave Associates","1980","","8, 227 pages, 1 illustration, 20 cm","914.4804812","X.989/54532","France--Cévennes--Description & travel--1870-1899 ; Cévennes Mountains (France)--Description and travel","","English","facsimile reprinted of: 1st edition London : Kegan Paul & Co, 1879",""
"Travels with a donkey in the Cévennes","","010664351","Monograph","Language material ; Text","Volume","GB9152676","","9780099730002","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Arrow","1991","","xvi, 176 pages, 22 cm","914.4804812","YK.1991.a.8536","Travel ; Languedoc-Roussillon (France)","","English","facsimile of edition published: London : Kegan Paul, 1879",""
"Travels with a donkey in the Cévennes","","011980732","Monograph","Language material ; Text","Volume","GB8819731","","9780701133276","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Chatto & Windus","1988","Illustrated edition, introduction by Robin Neillands","126 pages, illustrations (some colour), maps, portraits, 27 cm","914.4804812","YC.1988.b.3702","France--Cévennes--Description & travel--1870-1899 ; Cévennes Mountains (France)--Description and travel","","English","",""
"Travels with a donkey in the Cévennes","","013636028","Monograph","Language material ; Text","Volume","GBA850736","","9781843500964","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","Scotland","Gullane","FrontList","2006","","155 pages, maps, 21 cm","828.803","H.2009/1789","Stevenson, Robert Louis, 1850-1894--Travel--France--Cévennes Mountains ; Authors, Scottish--19th century--Biography ; Cévennes Mountains (France)--Description and travel","Biography","English","Originally published: 1879",""
"Travels with a donkey in the Cévennes","","017105140","Monograph","Language material ; Text","Volume","GBB534185","","9781909612624","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Stanfords travel classics","","England","Oxford","John Beaufoy Publishing","2015","","95 pages, 20 cm","828.803","YKL.2016.a.6345","Stevenson, Robert Louis, 1850-1894--Travel--France--Cévennes Mountains ; Cévennes Mountains (France)--Description and travel","","English","Originally published: 1879",""
